Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Matheus,br BRA,GK,30-258,23.9,6,0.25,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nuno Sequeira,pt POR,DF,32-227,21.2,68,3.2,58,7,0,0,2,1,2,0.09,1,1,0,0,0,0,Matches
Almoatasem Al Musrati,ly LBY,MF,26-362,20.7,43,2.07,34,2,0,3,1,3,5,0.24,4,0,0,1,0,0,Matches
Vítor Tormena,br BRA,DF,27-089,21.1,22,1.05,18,0,0,2,1,1,1,0.05,0,0,0,1,0,0,Matches
Ricardo Horta,pt POR,"MF,FW",28-200,20.3,111,5.46,87,5,1,7,9,2,11,0.54,8,1,0,0,1,1,Matches
Iuri Medeiros,pt POR,"MF,FW",28-267,16.4,89,5.44,55,14,8,9,3,0,11,0.67,5,0,3,3,0,0,Matches
André Horta,pt POR,MF,26-147,16.8,83,4.93,56,24,1,2,0,0,8,0.47,6,2,0,0,0,0,Matches
Abel Ruiz,es ESP,"FW,MF",23-065,15.4,43,2.79,37,0,1,4,0,1,9,0.58,7,0,1,1,0,0,Matches
Sikou Niakaté,fr FRA,DF,23-267,14.8,10,0.68,8,0,1,0,1,0,3,0.2,1,0,1,0,1,0,Matches
Simon Banza,fr FRA,FW,26-233,14.6,32,2.19,21,0,1,4,6,0,4,0.27,3,0,0,0,1,0,Matches
Victor Perea,es ESP,DF,23-002,14.0,37,2.64,33,2,1,0,1,0,2,0.14,2,0,0,0,0,0,Matches
Vitinha,pt POR,FW,23-019,12.2,41,3.36,25,0,3,8,4,1,8,0.66,5,0,0,2,1,0,Matches
Paulo Oliveira,pt POR,DF,31-085,12.3,5,0.41,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Fabiano,br BRA,DF,23-020,10.7,32,2.98,27,0,0,1,3,1,1,0.09,1,0,0,0,0,0,Matches
Uroš Račić,rs SRB,MF,25-017,9.3,26,2.81,20,0,2,2,1,1,0,0.0,0,0,0,0,0,0,Matches
Bruma,pt POR,"MF,FW",28-161,3.3,15,4.44,9,0,5,1,0,0,4,1.18,1,0,3,0,0,0,Matches
André Castro,pt POR,MF,35-001,6.2,7,1.14,6,0,0,1,0,0,2,0.32,1,0,0,1,0,0,Matches
Cristian Borja,co COL,DF,30-044,2.4,6,2.48,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Serdar Saatçı,tr TUR,DF,20-048,2.0,1,0.5,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Álvaro djaló,es ESP,"FW,MF",23-230,5.0,23,4.62,15,0,5,2,1,0,4,0.8,4,0,0,0,0,0,Matches
Rodrigo Gomes,pt POR,"FW,MF",19-270,3.5,10,2.93,7,0,0,1,2,0,1,0.29,1,0,0,0,0,0,Matches
Pizzi,pt POR,"FW,MF",33-179,2.0,8,4.09,6,0,0,1,0,1,2,1.02,1,0,0,0,0,1,Matches
Diego Lainez,mx MEX,MF,22-298,1.7,11,6.31,9,0,0,1,1,0,4,2.29,3,0,0,1,0,0,Matches
Tiago Sá,pt POR,GK,28-082,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Bruno Rodrigues,pt POR,DF,21-299,1.0,2,2.0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Hernani Infande,pt POR,"MF,FW",22-000,0.9,1,1.1,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jean Gorby,fr FRA,"MF,FW",20-252,0.6,2,3.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joe Mendes,se SWE,MF,20-093,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dinis Pinto,pt POR,DF,22-222,0.1,1,11.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Santos,pt POR,FW,22-173,0.1,2,36.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.1,25.0,737,29.48,550,57,30,51,36,13,82,3.28,54,4,8,10,4,2,
Opponent Total,,,26.8,25.0,485,19.4,358,35,32,36,17,7,38,1.52,23,0,5,7,3,0,
