Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Emil Audero,it ITA,GK,26-078,25.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Tommaso Augello,it ITA,DF,28-219,24.0,2,8,3,37.5,0.33,0.12,0.25,0.67,16.2,0.0,0,0,0.5,0.5,0.06,1.5,1.5,Matches
Mehdi Léris,dz ALG,"MF,DF",24-318,21.0,0,22,8,36.4,1.05,0.38,0.0,0.0,13.0,0.0,0,0,2.2,2.2,0.1,-2.2,-2.2,Matches
Filip Đuričić,rs SRB,"MF,FW",31-066,19.1,3,21,9,42.9,1.1,0.47,0.14,0.33,18.6,0.0,0,0,1.9,1.9,0.09,1.1,1.1,Matches
Tomás Rincón,ve VEN,MF,35-083,19.1,0,9,3,33.3,0.47,0.16,0.0,0.0,21.8,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Manolo Gabbiadini,it ITA,"FW,MF",31-131,16.9,6,56,23,41.1,3.32,1.36,0.11,0.26,19.8,4.0,0,0,5.9,5.9,0.11,0.1,0.1,Matches
Bruno Amione,ar ARG,DF,21-093,15.8,0,8,1,12.5,0.51,0.06,0.0,0.0,12.2,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Omar Colley,gm GAM,DF,30-164,15.4,1,6,4,66.7,0.39,0.26,0.17,0.25,9.0,0.0,0,0,1.2,1.2,0.2,-0.2,-0.2,Matches
Bartosz Bereszyński,pl POL,DF,30-268,13.3,0,3,0,0.0,0.23,0.0,0.0,,21.4,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Francesco Caputo,it ITA,FW,35-243,12.2,1,19,5,26.3,1.56,0.41,0.05,0.2,14.8,0.0,0,0,1.9,1.9,0.1,-0.9,-0.9,Matches
Abdelhamid Sabiri,ma MAR,MF,26-129,11.2,2,29,9,31.0,2.59,0.81,0.03,0.11,25.4,6.0,1,2,2.9,1.2,0.04,-0.9,-0.2,Matches
Bram Nuytinck,nl NED,DF,32-337,10.9,0,3,0,0.0,0.28,0.0,0.0,,9.9,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Jeison Murillo,co COL,DF,30-314,9.8,0,2,0,0.0,0.21,0.0,0.0,,17.6,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Harry Winks,eng ENG,MF,27-063,10.3,0,5,0,0.0,0.49,0.0,0.0,,23.0,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Alex Ferrari,it ITA,DF,28-279,9.6,0,5,0,0.0,0.52,0.0,0.0,,20.0,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Sam Lammers,nl NED,FW,25-341,8.0,0,12,3,25.0,1.49,0.37,0.0,0.0,11.7,0.0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches
Ronaldo Vieira,gw GNB,MF,24-261,9.1,0,6,1,16.7,0.66,0.11,0.0,0.0,,,0,0,,,,,,Matches
Gonzalo Villar,es ESP,MF,25-014,7.7,0,1,0,0.0,0.13,0.0,0.0,,26.1,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Mickaël Cuisance,fr FRA,MF,23-233,4.8,0,7,2,28.6,1.46,0.42,0.0,0.0,22.5,1.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Alessandro Zanoli,it ITA,DF,22-185,7.8,1,6,2,33.3,0.77,0.26,0.17,0.5,16.7,0.0,0,0,0.7,0.7,0.12,0.3,0.3,Matches
Valerio Verre,it ITA,MF,29-085,7.5,0,14,3,21.4,1.86,0.4,0.0,0.0,25.3,0.0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
Nicola Murru,it ITA,DF,28-111,6.1,0,2,0,0.0,0.33,0.0,0.0,,26.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Daniele Montevago,it ITA,FW,20-019,2.6,0,7,1,14.3,2.73,0.39,0.0,0.0,13.1,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Fabio Quagliarella,it ITA,FW,40-065,4.4,0,20,5,25.0,4.55,1.14,0.0,0.0,17.1,0.0,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches
Koray Günter,de GER,"DF,MF",28-233,2.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Gerard Yepes,es ESP,MF,20-224,2.2,0,1,0,0.0,0.45,0.0,0.0,,18.7,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Martin Turk,si SVN,GK,19-228,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Ignacio Pussetto,ar ARG,"MF,DF",27-106,1.7,0,2,2,100.0,1.18,1.18,0.0,0.0,14.2,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Fabio Depaoli,it ITA,"DF,MF",25-347,1.5,0,2,0,0.0,1.32,0.0,0.0,,13.6,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Jesé,es ESP,FW,30-039,1.3,0,2,1,50.0,1.53,0.76,0.0,0.0,26.1,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Nicola Ravaglia,it ITA,GK,34-115,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Flavio Paoletti,it ITA,MF,20-080,1.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Lorenzo Malagrida,it ITA,"DF,MF",19-164,0.6,0,1,1,100.0,1.76,1.76,0.0,0.0,10.6,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Emirhan İlkhan,tr TUR,MF,18-309,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Manuel De Luca,it ITA,"FW,MF",24-263,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Andrea Conti,it ITA,DF,29-035,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.5,28.0,16,279,86,30.8,9.96,3.07,0.05,0.17,18.5,11.0,1,2,23.7,22.0,0.08,-7.7,-7.0,
Opponent Total,,,27.6,28.0,45,400,136,34.0,14.29,4.86,0.1,0.29,16.9,16.0,6,9,44.9,38.0,0.1,0.1,1.0,
