Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Birama Touré,ml MLI,MF,30-301,28.8,1215,1189,24,20,1,18,13,3,1,0,0,0,970,2,22,Matches
Jubal,br BRA,DF,29-217,26.7,1040,994,45,44,1,20,4,1,0,0,0,0,853,1,2,Matches
Gideon Mensah,gh GHA,DF,24-259,19.1,1106,903,200,18,1,8,49,182,0,0,0,0,843,3,36,Matches
Benoît Costil,fr FRA,GK,35-274,19.0,593,373,218,81,0,3,0,0,0,0,0,0,414,2,0,Matches
Rayan Raveloson,mg MAD,"DF,MF",26-077,18.2,727,645,81,17,0,15,23,63,1,1,0,0,584,1,12,Matches
Hamza Sakhi,ma MAR,MF,26-300,17.7,896,820,69,31,4,22,82,1,35,11,20,0,717,7,13,Matches
Mathias Autret,fr FRA,"MF,FW",32-033,14.0,582,516,63,19,3,18,64,10,24,13,7,0,441,3,14,Matches
Julian Jeanvier,gn GUI,DF,31-003,14.5,623,597,24,18,0,4,1,6,0,0,0,0,523,2,5,Matches
Nuno da Costa,cv CPV,"FW,MF",32-052,15.2,265,253,12,1,2,4,11,0,0,0,0,0,181,0,8,Matches
Lassine Sinayoko,ml MLI,"MF,FW",23-116,14.4,465,461,4,0,1,4,27,3,0,0,0,0,346,0,13,Matches
Gauthier Hein,fr FRA,"MF,FW",26-239,13.4,512,456,54,15,2,14,53,11,27,10,8,0,404,2,7,Matches
M'Baye Niang,sn SEN,FW,28-105,13.3,247,214,33,1,0,1,6,2,0,0,0,0,157,0,15,Matches
Gaëtan Perrin,fr FRA,"MF,FW",26-300,12.7,354,330,23,9,2,7,23,2,11,3,6,0,261,1,14,Matches
Akim Zedadka,dz ALG,DF,27-308,11.2,471,355,114,13,1,0,27,101,0,0,0,0,358,2,12,Matches
Souleymane Touré,fr FRA,DF,20-006,10.8,468,455,12,11,0,4,2,1,0,0,0,0,404,1,5,Matches
Ionuț Radu,ro ROU,GK,25-310,10.0,353,258,94,30,0,0,0,0,0,0,0,0,201,1,0,Matches
Paul Joly,fr FRA,DF,22-300,9.6,652,565,86,5,1,17,36,81,0,0,0,0,514,1,19,Matches
Han-Noah Massengo,fr FRA,MF,21-270,7.9,250,239,6,5,4,1,2,0,0,0,0,0,205,5,6,Matches
Matthis Abline,fr FRA,FW,20-006,7.2,88,78,10,0,0,1,5,0,0,0,0,0,60,0,3,Matches
Quentin Bernard,fr FRA,DF,33-270,7.0,417,345,69,12,0,4,14,57,0,0,0,0,324,3,8,Matches
Youssouf M'Changama,km COM,MF,32-217,7.2,332,312,20,10,2,4,26,1,8,3,5,0,272,0,5,Matches
Alexandre Coeff,fr FRA,DF,31-042,6.5,353,340,12,4,0,4,5,8,0,0,0,0,287,1,3,Matches
Siriki Dembélé,ci CIV,MF,26-208,3.2,70,68,2,1,0,0,5,0,1,1,0,0,56,0,2,Matches
Gaëtan Charbonnier,fr FRA,"FW,MF",34-097,2.8,89,78,11,0,0,2,1,1,0,0,0,0,79,0,2,Matches
Brayann Pereira,fr FRA,DF,19-317,2.0,79,63,15,0,0,0,9,15,0,0,0,0,56,1,2,Matches
Dénys Bain,fr FRA,DF,29-275,1.4,56,55,1,1,0,1,0,0,0,0,0,0,52,0,0,Matches
Kenji-Van Boto,mg MAD,DF,27-027,1.0,30,26,4,2,0,0,2,2,0,0,0,0,23,0,1,Matches
Kays Ruiz,ma MAR,MF,20-220,0.7,29,29,0,0,0,0,0,0,0,0,0,0,26,0,0,Matches
Rémy Dugimont,fr FRA,"FW,MF",36-276,1.2,59,57,2,0,0,1,0,0,0,0,0,0,40,0,2,Matches
Ousmane Camara,gn GUI,"FW,MF",21-151,0.3,8,8,0,0,0,0,2,0,0,0,0,0,7,0,0,Matches
Squad Total,,,28.2,29.0,12429,11082,1308,368,25,177,492,551,108,42,46,0,9658,39,231,
Opponent Total,,,26.8,29.0,15805,14385,1368,377,49,100,542,564,153,57,64,1,12825,52,281,
