Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Borja Iglesias,es ESP,FW,30-061,18.6,8,4,3,3,2,2,13,15.4,11,6,1,5,1,9,11,0,Matches
Guido Rodríguez,ar ARG,MF,28-341,18.9,54,36,24,26,4,24,49,49.0,25,37,8,29,23,77,43,1,Matches
William Carvalho,pt POR,MF,30-346,17.8,29,18,14,14,1,9,31,29.0,22,19,5,14,10,39,13,0,Matches
Rui Silva,pt POR,GK,29-040,19.0,4,1,4,0,0,4,4,100.0,0,0,0,0,0,4,7,1,Matches
Germán Pezzella,ar ARG,DF,31-265,18.9,31,21,23,8,0,19,26,73.1,7,23,11,12,36,67,87,1,Matches
Sergio Canales,es ESP,"FW,MF",32-031,17.3,19,10,9,6,4,10,20,50.0,10,13,0,13,9,28,7,0,Matches
Álex Moreno,es ESP,DF,29-284,15.0,29,22,19,10,0,18,36,50.0,18,17,4,13,17,46,39,0,Matches
Luiz Henrique,br BRA,FW,22-076,14.5,37,27,19,13,5,15,34,44.1,19,13,0,13,10,47,10,0,Matches
Rodrigo,es ESP,"FW,MF",22-307,12.0,10,8,4,5,1,4,10,40.0,6,8,0,8,9,19,2,0,Matches
Youssouf Sabaly,sn SEN,DF,30-014,13.2,30,15,19,9,2,15,20,75.0,5,26,7,19,15,45,37,1,Matches
Luiz Felipe,it ITA,DF,25-362,11.5,20,13,10,10,0,11,22,50.0,11,26,15,11,15,35,53,0,Matches
Édgar González,es ESP,DF,25-352,12.7,17,11,11,5,1,10,16,62.5,6,10,8,2,17,34,77,0,Matches
Nabil Fekir,fr FRA,MF,29-244,10.7,11,5,3,3,5,2,9,22.2,7,6,2,4,1,12,0,0,Matches
Aitor Ruibal,es ESP,"DF,FW",26-362,12.0,39,22,29,7,3,24,41,58.5,17,12,1,11,18,57,32,0,Matches
Andrés Guardado,mx MEX,"MF,FW",36-172,9.8,29,17,12,16,1,12,29,41.4,17,11,5,6,16,45,17,0,Matches
Juanmi,es ESP,FW,29-303,7.7,10,7,3,5,2,5,21,23.8,16,6,0,6,3,13,2,0,Matches
Claudio Bravo,cl CHI,GK,39-340,6.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Víctor Ruiz,es ESP,DF,34-053,6.1,4,3,3,1,0,2,2,100.0,0,10,7,3,6,10,33,0,Matches
Juan Miranda,es ESP,DF,23-059,6.0,13,9,10,3,0,9,12,75.0,3,7,2,5,8,21,15,0,Matches
Abner,br BRA,DF,22-296,4.1,11,8,9,2,0,7,13,53.8,6,5,2,3,6,17,15,0,Matches
Ayoze Pérez,es ESP,"FW,MF",29-233,3.8,10,2,3,3,4,2,8,25.0,6,9,0,9,3,13,1,0,Matches
Martín Montoya,es ESP,DF,31-339,2.0,7,5,5,2,0,6,6,100.0,0,2,0,2,2,9,5,0,Matches
Willian José,br BRA,FW,31-116,4.4,5,3,4,1,0,2,5,40.0,3,2,0,2,0,5,9,0,Matches
Paul Akouokou,ci CIV,MF,25-089,3.1,10,6,8,2,0,8,13,61.5,5,0,0,0,6,16,2,1,Matches
Joaquín,es ESP,"MF,FW",41-241,3.0,1,1,0,1,0,0,2,0.0,2,2,0,2,2,3,2,0,Matches
Juan Cruz,es ESP,FW,22-328,1.9,1,0,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0,Matches
Felix Garreta,es ESP,DF,18-332,1.0,1,0,0,1,0,0,0,,0,1,1,0,1,2,4,0,Matches
Roberto González,es ESP,"FW,MF",22-072,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
Loren Morón,es ESP,FW,29-079,0.2,2,2,0,1,1,0,0,,0,0,0,0,0,2,1,0,Matches
Fran Delgado,es ESP,DF,21-251,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,29.2,25.0,442,276,248,158,36,221,446,49.6,225,272,79,193,236,678,524,5,
Opponent Total,,,28.0,25.0,455,276,212,178,65,201,418,48.1,217,278,67,211,230,685,373,6,
