Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
André Amaro,co COL,DF,20-215,24,24,2091.0,23.2,1.0,1.0,2.0,1.0,0.0,0.0,11.0,1.0,1.4,1.4,0.2,1.5,22.0,74.0,1.0,0.04,0.04,0.09,0.04,0.09,0.06,0.01,0.07,0.06,0.07,Matches
Mikel Villanueva,ve VEN,DF,29-354,23,23,2014.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.5,1.3,5.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
Bruno Varela,pt POR,GK,28-150,22,22,1980.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.04,0.04,0.0,0.04,Matches
Ibrahima Bamba,ci CIV,"DF,MF",20-346,22,21,1785.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.7,0.7,0.2,0.9,5.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Tiago Silva,pt POR,MF,29-305,22,21,1729.0,19.2,4.0,1.0,5.0,1.0,3.0,3.0,11.0,1.0,3.2,1.0,2.5,3.4,19.0,137.0,26.0,0.21,0.05,0.26,0.05,0.1,0.17,0.13,0.3,0.05,0.18,Matches
Afonso freitas,pt POR,"DF,MF",22-361,18,17,1338.0,14.9,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,0.5,0.5,0.8,1.2,26.0,39.0,59.0,0.0,0.13,0.13,0.0,0.13,0.03,0.05,0.08,0.03,0.08,Matches
Jota Silva,pt POR,"FW,MF",23-245,23,16,1261.0,14.0,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,3.8,3.8,2.0,5.9,41.0,22.0,107.0,0.14,0.14,0.29,0.14,0.29,0.27,0.15,0.42,0.27,0.42,Matches
Daniel Bandeira,pt POR,MF,22-357,23,14,1279.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.5,1.2,14.0,81.0,21.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.09,0.05,0.09,Matches
André Silva,br BRA,"FW,MF",25-304,16,14,1174.0,13.0,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,2.9,2.9,2.2,5.1,35.0,28.0,74.0,0.31,0.08,0.38,0.31,0.38,0.22,0.17,0.39,0.22,0.39,Matches
Anderson,br BRA,FW,25-133,24,13,1195.0,13.3,3.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,3.9,3.9,0.3,4.2,21.0,14.0,65.0,0.23,0.0,0.23,0.23,0.23,0.3,0.02,0.32,0.3,0.32,Matches
Miguel Magalhães,pt POR,"DF,MF",20-138,13,13,1164.0,12.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,28.0,60.0,108.0,0.0,0.15,0.15,0.0,0.15,0.04,0.07,0.11,0.04,0.11,Matches
André André,pt POR,MF,33-220,17,13,1128.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,1.2,1.4,20.0,78.0,27.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,Matches
Nelson,ao ANG,"FW,MF",25-058,23,10,1015.0,11.3,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.6,1.6,0.3,1.9,37.0,26.0,95.0,0.27,0.0,0.27,0.27,0.27,0.15,0.02,0.17,0.15,0.17,Matches
Rúben Lameiras,pt POR,"FW,MF",28-102,15,10,923.0,10.3,1.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,2.0,1.2,1.6,2.8,44.0,40.0,99.0,0.1,0.1,0.2,0.0,0.1,0.19,0.16,0.35,0.11,0.27,Matches
Helder Sá,pt POR,"DF,MF",20-144,9,9,755.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,1.0,21.0,32.0,55.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.12,0.02,0.12,Matches
Michael Johnston,ie IRL,"FW,MF",23-349,17,8,808.0,9.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,1.0,2.1,32.0,36.0,60.0,0.11,0.22,0.33,0.11,0.33,0.12,0.11,0.23,0.12,0.23,Matches
Zé Ferreira,pt POR,"MF,DF",21-155,9,8,694.0,7.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,10.0,26.0,37.0,0.0,0.26,0.26,0.0,0.26,0.01,0.06,0.07,0.01,0.07,Matches
Safira,br BRA,FW,28-017,19,7,693.0,7.7,5.0,1.0,6.0,5.0,0.0,0.0,8.0,0.0,2.5,2.5,0.5,2.9,6.0,7.0,29.0,0.65,0.13,0.78,0.65,0.78,0.33,0.06,0.39,0.33,0.39,Matches
Mamadou Tounkara,fr FRA,DF,21-110,7,4,461.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Nicolas Janvier,fr FRA,MF,24-235,16,3,527.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.8,1.4,10.0,53.0,18.0,0.17,0.0,0.17,0.17,0.17,0.1,0.13,0.23,0.1,0.23,Matches
Domingos André Ribeiro Almeida,pt POR,MF,22-308,3,3,237.0,2.6,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.8,1.1,6.0,13.0,2.0,0.0,0.76,0.76,0.0,0.76,0.11,0.31,0.42,0.11,0.42,Matches
Maga,pt POR,DF,23-349,3,3,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches
Jorge Filipe Oliveira Fernandes,pt POR,DF,26-001,3,3,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches
Ryoya Ogawa,jp JPN,"DF,MF",26-130,6,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Celton Anssumane Biai,pt POR,GK,22-233,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafa,pt POR,GK,19-187,2,2,180.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.01,0.01,0.0,0.01,Matches
Tomás Händel,pt POR,MF,22-127,2,1,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Bruno Gaspar,ao ANG,DF,29-347,3,0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Cortés,es ESP,FW,22-352,3,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Índio,br BRA,"MF,FW",23-219,7,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches
Alfa Semedo,gw GNB,MF,25-216,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gonçalo Nogueira,pt POR,MF,19-096,2,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jason Bahamboula,fr FRA,MF,21-292,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,2.85,2.85,2.85,Matches
Diogo Ferreira,pt POR,MF,21-206,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antal Bencze,hu HUN,GK,21-059,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rui Correia,pt POR,DF,21-046,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tiago Gonçalves,pt POR,GK,19-342,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Manuel Manu,pt POR,MF,21-295,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Abdul Mumin,gh GHA,DF,24-301,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
João Pedro Ricciulli,gw GNB,DF,23-175,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jose Ribeiro,pt POR,GK,16-325,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.1,26,286,2340.0,26.0,25.0,19.0,44.0,21.0,4.0,4.0,96.0,6.0,27.0,24.0,19.0,43.0,417.0,913.0,907.0,0.96,0.73,1.69,0.81,1.54,1.04,0.73,1.77,0.92,1.65,
Opponent Total,,,27.1,26,286,2340.0,26.0,28.0,22.0,50.0,26.0,2.0,3.0,87.0,8.0,30.4,28.1,23.1,51.2,376.0,896.0,886.0,1.08,0.85,1.92,1.0,1.85,1.17,0.89,2.06,1.08,1.97,
