Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Lukáš Hrádecký,fi FIN,GK,33-133,25.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
Edmond Tapsoba,bf BFA,DF,24-063,24.9,40,23,28,9,3,24,35,68.6,11,31,16,15,29,69,86,1,Matches
Moussa Diaby,fr FRA,"FW,MF",23-273,22.7,12,7,3,8,1,7,14,50.0,7,6,0,6,4,16,3,0,Matches
Jeremie Frimpong,nl NED,"DF,MF",22-117,22.3,43,21,20,20,3,18,32,56.3,14,18,1,17,12,55,34,0,Matches
Robert Andrich,de GER,MF,28-196,21.7,49,30,23,22,4,20,32,62.5,12,23,8,15,29,78,43,2,Matches
Jonathan Tah,de GER,DF,27-054,20.6,20,10,16,4,0,11,16,68.8,5,21,13,8,26,46,92,0,Matches
Piero Hincapié,ec ECU,DF,21-087,20.5,38,25,22,14,2,18,28,64.3,10,31,15,16,24,62,63,1,Matches
Exequiel Palacios,ar ARG,MF,24-183,14.0,44,27,16,25,3,23,41,56.1,18,19,2,17,29,73,23,0,Matches
Kerem Demirbay,de GER,MF,29-277,13.2,28,14,12,13,3,15,27,55.6,12,19,4,15,13,41,6,0,Matches
Mitchel Bakker,nl NED,"DF,MF",22-290,12.9,12,7,6,6,0,3,8,37.5,5,14,2,12,10,22,14,2,Matches
Odilon Kossonou,ci CIV,DF,22-092,12.9,14,9,8,5,1,6,11,54.5,5,17,5,12,15,29,46,1,Matches
Adam Hložek,cz CZE,"FW,MF",20-255,11.4,8,3,4,3,1,2,5,40.0,3,8,2,6,5,13,8,0,Matches
Amine Adli,fr FRA,"FW,MF",22-331,11.0,11,9,3,4,4,3,11,27.3,8,22,2,20,5,16,6,0,Matches
Patrik Schick,cz CZE,FW,27-072,10.5,0,0,0,0,0,0,1,0.0,1,4,1,3,1,1,7,0,Matches
Callum Hudson-Odoi,eng ENG,"FW,MF",22-150,6.7,5,3,4,0,1,1,1,100.0,0,0,0,0,2,7,4,0,Matches
Nadiem Amiri,de GER,"MF,FW",26-161,8.0,9,3,3,5,1,5,12,41.7,7,7,0,7,4,13,9,1,Matches
Florian Wirtz,de GER,"FW,MF",19-338,6.8,13,7,6,7,0,6,11,54.5,5,8,1,7,1,14,6,0,Matches
Sardar Azmoun,ir IRN,"FW,MF",28-095,6.5,5,3,1,3,1,1,7,14.3,6,3,0,3,1,6,7,0,Matches
Charles Aránguiz,cl CHI,MF,33-354,5.5,17,7,7,10,0,12,20,60.0,8,4,0,4,7,24,4,0,Matches
Daley Sinkgraven,nl NED,"DF,MF",27-276,3.7,9,7,7,2,0,6,7,85.7,1,8,4,4,5,14,7,0,Matches
Timothy Fosu-Mensah,nl NED,DF,25-094,2.0,7,5,3,3,1,4,4,100.0,0,2,0,2,0,7,1,0,Matches
Andrey Lunyov,ru RUS,GK,31-144,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Karim Bellarabi,de GER,FW,32-363,0.9,2,0,1,1,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
Paulinho,br BRA,FW,22-265,0.9,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Matches
Joel Pohjanpalo,fi FIN,"FW,MF",28-205,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Ayman Azhil,ma MAR,MF,21-361,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.5,26.0,386,220,193,164,29,187,325,57.5,138,266,76,190,222,608,474,9,
Opponent Total,,,27.2,26.0,462,253,174,202,86,206,462,44.6,256,301,83,218,251,713,406,7,
