Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Harry Kane,eng ENG,FW,29-249,27.8,9,8,0,3,6,5,12,41.7,7,18,5,13,1,10,13,0,Matches
Pierre Højbjerg,dk DEN,MF,27-241,26.8,42,22,23,15,4,21,46,45.7,25,40,15,25,39,81,52,1,Matches
Eric Dier,eng ENG,DF,29-078,25.3,22,14,13,7,2,7,15,46.7,8,27,18,9,30,52,89,1,Matches
Son Heung-min,kr KOR,"MF,FW",30-269,22.5,18,9,4,8,6,5,19,26.3,14,18,2,16,9,27,5,0,Matches
Hugo Lloris,fr FRA,GK,36-098,21.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,11,4,Matches
Ben Davies,wls WAL,DF,29-344,20.3,17,8,7,9,1,8,17,47.1,9,15,6,9,16,33,60,0,Matches
Cristian Romero,ar ARG,DF,24-341,18.3,49,24,28,20,1,18,30,60.0,12,20,9,11,29,78,66,2,Matches
Ivan Perišić,hr CRO,"DF,MF",34-060,17.5,30,15,17,6,7,16,32,50.0,16,21,3,18,17,47,29,1,Matches
Rodrigo Bentancur,uy URU,MF,25-282,16.7,45,28,15,21,9,16,28,57.1,12,28,15,13,20,65,22,0,Matches
Dejan Kulusevski,se SWE,"MF,FW",22-343,16.3,27,9,17,3,7,11,31,35.5,20,13,0,13,6,33,5,0,Matches
Emerson,br BRA,DF,24-079,15.5,42,26,28,11,3,20,32,62.5,12,15,3,12,12,54,58,0,Matches
Clément Lenglet,fr FRA,DF,27-290,15.2,26,16,14,8,4,11,23,47.8,12,19,7,12,13,39,35,2,Matches
Ryan Sessegnon,eng ENG,DF,22-320,9.0,16,11,9,7,0,6,12,50.0,6,8,1,7,6,22,17,1,Matches
Richarlison,br BRA,"MF,FW",25-328,8.3,19,14,12,4,3,11,23,47.8,12,12,1,11,5,24,8,0,Matches
Yves Bissouma,ml MLI,MF,26-216,9.0,12,10,3,5,4,2,7,28.6,5,12,5,7,9,21,7,0,Matches
Oliver Skipp,eng ENG,MF,22-199,7.2,16,9,9,6,1,6,15,40.0,9,6,1,5,6,22,9,0,Matches
Matt Doherty,ie IRL,"DF,MF",31-077,7.4,16,10,12,3,1,8,10,80.0,2,11,6,5,8,24,14,1,Matches
Fraser Forster,eng ENG,GK,35-017,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Davinson Sánchez,co COL,DF,26-295,6.4,15,6,10,4,1,9,10,90.0,1,9,6,3,10,25,25,0,Matches
Pedro Porro,es ESP,DF,23-202,3.7,3,1,1,2,0,1,10,10.0,9,7,0,7,3,6,9,0,Matches
Bryan,es ESP,"MF,FW",22-051,1.6,3,1,3,0,0,0,3,0.0,3,3,0,3,1,4,1,0,Matches
Japhet Tanganga,eng ENG,DF,24-003,1.6,3,2,3,0,0,1,3,33.3,2,1,0,1,2,5,6,0,Matches
Pape Matar Sarr,sn SEN,MF,20-201,1.6,6,5,4,1,1,3,7,42.9,4,2,1,1,5,11,4,0,Matches
Lucas Moura,br BRA,"MF,DF",30-233,1.3,7,5,1,2,4,1,2,50.0,1,0,0,0,2,9,1,0,Matches
Arnaut Danjuma,nl NED,FW,26-062,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Djed Spence,eng ENG,"FW,DF",22-237,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Harvey White,eng ENG,MF,21-196,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,,,28.4,28.0,444,254,234,145,65,187,390,47.9,203,305,104,201,250,694,548,13,
Opponent Total,,,27.4,28.0,482,290,217,188,77,206,414,49.8,208,374,118,256,235,717,545,7,
