Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Xavi Simons,nl NED,"FW,MF",19-347,24.5,0,0,0,22,58,3,24,7,18,2,0,0,121,35,30,53.8,Matches
Walter Benítez,ar ARG,GK,30-074,23.0,1,0,0,0,0,0,0,0,0,0,0,0,27,5,0,100.0,Matches
Joey Veerman,nl NED,MF,24-135,20.6,0,0,0,13,9,2,93,23,21,0,0,0,167,16,10,61.5,Matches
Ibrahim Sangaré,ci CIV,MF,25-122,21.4,4,0,0,30,20,2,10,16,31,0,0,2,208,32,19,62.7,Matches
Armando Obispo,nl NED,DF,24-029,19.1,1,1,0,10,5,0,1,39,14,0,0,0,139,54,29,65.1,Matches
Jordan Teze,nl NED,DF,23-185,18.0,1,0,0,14,8,0,31,18,28,0,0,0,147,13,7,65.0,Matches
Phillipp Mwene,at AUT,DF,29-064,15.8,0,0,0,14,8,0,43,7,27,0,0,0,102,13,17,43.3,Matches
Luuk de Jong,nl NED,FW,32-219,13.8,2,0,0,7,14,4,1,3,5,0,0,0,44,64,50,56.1,Matches
Jarrad Branthwaite,eng ENG,DF,20-280,15.8,1,0,0,6,3,1,1,25,10,0,0,0,101,42,31,57.5,Matches
Cody Gakpo,nl NED,FW,23-331,12.5,0,0,0,9,29,13,134,8,10,0,0,0,48,15,17,46.9,Matches
Guus Til,nl NED,"MF,FW",25-102,14.4,4,0,0,21,14,0,17,10,20,1,1,0,65,18,23,43.9,Matches
André Ramalho,br BRA,DF,31-046,14.3,1,0,0,4,8,0,1,16,11,0,0,0,85,37,27,57.8,Matches
Johan Bakayoko,be BEL,FW,19-348,11.8,3,0,0,15,5,2,45,7,14,0,0,0,64,10,12,45.5,Matches
Philipp Max,de GER,DF,29-185,11.3,3,0,0,9,6,0,42,7,14,0,0,0,68,6,1,85.7,Matches
Erick Gutiérrez,mx MEX,MF,27-292,12.8,4,0,0,24,10,0,3,20,23,0,0,0,95,19,23,45.2,Matches
Anwar El Ghazi,nl NED,FW,27-335,10.0,2,0,0,7,13,8,55,3,7,1,0,0,37,17,12,58.6,Matches
Patrick van Aanholt,nl NED,DF,32-217,6.4,1,0,0,4,0,2,13,8,6,0,0,0,41,1,2,33.3,Matches
Ismael Saibari,ma MAR,FW,22-065,4.5,0,0,0,4,2,3,5,6,7,0,0,0,36,1,4,20.0,Matches
Fábio Silva,pt POR,FW,20-258,4.5,3,0,0,11,8,3,4,1,1,0,0,0,15,6,4,60.0,Matches
Joel Drommel,nl NED,GK,26-138,4.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
Mauro Júnior,br BRA,"DF,MF",23-332,3.0,0,1,0,2,5,0,9,5,3,0,0,0,33,2,2,50.0,Matches
Noni Madueke,eng ENG,"FW,MF",21-024,3.1,2,0,0,2,3,0,20,0,4,0,0,0,13,1,1,50.0,Matches
Ki-Jana Hoever,nl NED,DF,21-075,2.3,0,0,0,2,4,0,6,4,6,0,0,0,17,1,1,50.0,Matches
Fredrik Oppegard,no NOR,DF,20-239,1.7,0,0,0,2,3,0,8,2,2,0,0,0,8,2,1,66.7,Matches
Yorbe Vertessen,be BEL,"FW,MF",22-085,1.7,0,0,0,2,2,1,1,0,2,0,0,0,6,3,2,60.0,Matches
Richy Ledezma,us USA,MF,22-209,1.5,0,0,0,5,5,0,2,2,1,0,0,0,9,1,0,100.0,Matches
Thorgan Hazard,be BEL,"FW,MF",30-005,1.2,0,0,0,1,0,0,4,0,2,0,0,0,4,0,3,0.0,Matches
Olivier Boscagli,fr FRA,DF,25-136,1.1,0,0,0,2,1,0,1,3,0,0,0,0,13,0,0,,Matches
Sávio,br BRA,"FW,MF",18-358,1.1,0,0,0,2,2,0,5,0,0,0,0,0,7,0,1,0.0,Matches
Carlos Vinícius,br BRA,FW,28-009,0.5,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0.0,Matches
Fodé Fofana,nl NED,FW,20-159,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
Marco van Ginkel,nl NED,DF,30-123,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
Squad Total,,,25.6,27.0,33,2,0,244,246,44,579,240,288,4,1,2,1729,414,335,55.3,
Opponent Total,,,25.9,27.0,41,3,0,261,229,22,396,308,280,1,5,2,1536,335,414,44.7,
